Zeitpunkt,Sensorname,Füllstandsdistanz,color,latitude,longitude
2021-09-08,104243,2500.0,Grün,47.42701,9.37393
2021-09-09,104243,2500.0,Grün,47.42701,9.37393
2021-09-10,104243,2500.0,Grün,47.42701,9.37393
2021-09-11,104243,2500.0,Grün,47.42701,9.37393
2021-09-12,104243,967.0,Grün,47.42701,9.37393
2021-09-13,104243,2500.0,Grün,47.42701,9.37393
2021-09-14,104243,2500.0,Grün,47.42701,9.37393
2021-09-15,104243,2500.0,Grün,47.42701,9.37393
2021-09-16,,,,,
2021-09-17,104243,2500.0,Grün,47.42701,9.37393
2021-09-18,104243,2500.0,Grün,47.42701,9.37393
2021-09-19,104243,709.0,Grün,47.42701,9.37393
2021-09-20,104243,537.0,Grün,47.42701,9.37393
2021-09-21,104243,2500.0,Grün,47.42701,9.37393
2021-09-22,104243,2500.0,Grün,47.42701,9.37393
2021-09-23,104243,2500.0,Grün,47.42701,9.37393
2021-09-24,104243,2500.0,Grün,47.42701,9.37393
2021-09-25,104243,2500.0,Grün,47.42701,9.37393
2021-09-26,104243,2500.0,Grün,47.42701,9.37393
2021-09-27,104243,2500.0,Grün,47.42701,9.37393
2021-09-28,104243,2500.0,Grün,47.42701,9.37393
2021-09-29,104243,2500.0,Grün,47.42701,9.37393
2021-09-30,104243,2500.0,Grün,47.42701,9.37393
2021-10-01,104243,1139.0,Grün,47.42701,9.37393
2021-10-02,104243,2500.0,Grün,47.42701,9.37393
2021-10-03,104243,1010.0,Grün,47.42701,9.37393
2021-10-04,104243,2500.0,Grün,47.42701,9.37393
2021-10-05,104243,2500.0,Grün,47.42701,9.37393
2021-10-06,104243,2500.0,Grün,47.42701,9.37393
2021-10-07,104243,2500.0,Grün,47.42701,9.37393
2021-10-08,104243,2500.0,Grün,47.42701,9.37393
2021-10-09,104243,2500.0,Grün,47.42701,9.37393
2021-10-10,104243,2500.0,Grün,47.42701,9.37393
2021-10-11,104243,817.0,Grün,47.42701,9.37393
2021-10-12,104243,2500.0,Grün,47.42701,9.37393
2021-10-13,104243,2500.0,Grün,47.42701,9.37393
2021-10-14,104243,1376.0,Grün,47.42701,9.37393
2021-10-15,104243,1268.0,Grün,47.42701,9.37393
2021-10-16,104243,2500.0,Grün,47.42701,9.37393
2021-10-17,104243,817.0,Grün,47.42701,9.37393
2021-10-18,104243,602.0,Grün,47.42701,9.37393
2021-10-19,104243,2500.0,Grün,47.42701,9.37393
2021-10-20,104243,2500.0,Grün,47.42701,9.37393
2021-10-21,104243,1419.0,Grün,47.42701,9.37393
2021-10-22,104243,2500.0,Grün,47.42701,9.37393
2021-10-23,104243,2500.0,Grün,47.42701,9.37393
2021-10-24,104243,903.0,Grün,47.42701,9.37393
2021-10-25,104243,881.0,Grün,47.42701,9.37393
2021-10-26,104243,2500.0,Grün,47.42701,9.37393
2021-10-27,104243,2500.0,Grün,47.42701,9.37393
2021-10-28,104243,2500.0,Grün,47.42701,9.37393
2021-10-29,104243,1075.0,Grün,47.42701,9.37393
2021-10-30,104243,967.0,Grün,47.42701,9.37393
2021-10-31,104243,2500.0,Grün,47.42701,9.37393
2021-11-01,104243,666.0,Grün,47.42701,9.37393
2021-11-02,104243,537.0,Grün,47.42701,9.37393
2021-11-03,104243,2500.0,Grün,47.42701,9.37393
2021-11-04,104243,2500.0,Grün,47.42701,9.37393
2021-11-05,104243,2500.0,Grün,47.42701,9.37393
2021-11-06,104243,2500.0,Grün,47.42701,9.37393
2021-11-07,104243,1032.0,Grün,47.42701,9.37393
2021-11-08,104243,967.0,Grün,47.42701,9.37393
2021-11-09,104243,2500.0,Grün,47.42701,9.37393
2021-11-10,104243,2500.0,Grün,47.42701,9.37393
2021-11-11,104243,2500.0,Grün,47.42701,9.37393
2021-11-12,104243,2500.0,Grün,47.42701,9.37393
2021-11-13,104243,2500.0,Grün,47.42701,9.37393
2021-11-14,104243,2500.0,Grün,47.42701,9.37393
2021-11-15,104243,2500.0,Grün,47.42701,9.37393
2021-11-16,104243,2500.0,Grün,47.42701,9.37393
2021-11-17,104243,2500.0,Grün,47.42701,9.37393
2021-11-18,104243,1268.0,Grün,47.42701,9.37393
2021-11-19,104243,1268.0,Grün,47.42701,9.37393
2021-11-20,104243,1118.0,Grün,47.42701,9.37393
2021-11-21,104243,2500.0,Grün,47.42701,9.37393
2021-11-22,104243,860.0,Grün,47.42701,9.37393
2021-11-23,104243,2500.0,Grün,47.42701,9.37393
2021-11-24,104243,2500.0,Grün,47.42701,9.37393
2021-11-25,104243,1268.0,Grün,47.42701,9.37393
2021-11-26,104243,1182.0,Grün,47.42701,9.37393
2021-11-27,104243,1139.0,Grün,47.42701,9.37393
2021-11-28,104243,860.0,Grün,47.42701,9.37393
2021-11-29,104243,795.0,Grün,47.42701,9.37393
2021-11-30,104243,2500.0,Grün,47.42701,9.37393
2021-12-01,104243,1397.0,Grün,47.42701,9.37393
2021-12-02,104243,2500.0,Grün,47.42701,9.37393
2021-12-03,104243,989.0,Grün,47.42701,9.37393
2021-12-04,104243,903.0,Grün,47.42701,9.37393
2021-12-05,104243,559.0,Grün,47.42701,9.37393
2021-12-06,104243,516.0,Grün,47.42701,9.37393
2021-12-07,104243,1569.0,Grün,47.42701,9.37393
2021-12-08,104243,1333.0,Grün,47.42701,9.37393
2021-12-09,104243,2500.0,Grün,47.42701,9.37393
2021-12-10,104243,1311.0,Grün,47.42701,9.37393
