ID;Monat_Jahr;Abfallfraktion;Unterkategorie;Entsorgungsart;Abfuhrgebiet;Annahmestelle;Deponie Anlieferung;Gewicht in kg;Gewicht in t
3;2015-03;Kehricht;;;;;;1456110.0;1456.11
4;2015-04;Kehricht;;;;;;1434100.0;1434.1
7;2015-07;Kehricht;;;;;;1415690.0;1415.69
11;2015-11;Kehricht;;;;;;1391800.0;1391.8
17;2016-05;Kehricht;;;;;;1458090.0;1458.09
19;2016-07;Kehricht;;;;;;1351010.0;1351.01
21;2016-09;Kehricht;;;;;;1420470.0;1420.47
27;2017-03;Kehricht;;;;;;1515630.0;1515.63
35;2017-11;Kehricht;;;;;;1363680.0;1363.68
38;2018-02;Kehricht;;;;;;1197670.0;1197.67
42;2018-06;Kehricht;;;;;;1360190.0;1360.19
53;2019-05;Kehricht;;;;;;1418180.0;1418.18
54;2019-06;Kehricht;;;;;;1250900.0;1250.9
57;2019-09;Kehricht;;;;;;1270600.0;1270.6
62;2020-02;Kehricht;;;;;;1198650.0;1198.65
63;2020-03;Kehricht;;;;;;1325230.0;1325.23
68;2020-08;Kehricht;;;;;;1242650.0;1242.65
71;2020-11;Kehricht;;;;;;1281890.0;1281.89
75;2021-03;Kehricht;;;;;;1359170.0;1359.17
76;2021-04;Kehricht;;;;;;1317290.0;1317.29
80;2021-08;Kehricht;;;;;;1220930.0;1220.93
83;2021-11;Kehricht;;;;;;1306890.0;1306.89
87;2017-03;Grüngut;;Strassensammlung;;;;46840.0;46.84
93;2017-09;Grüngut;;Strassensammlung;;;;115980.0;115.98
96;2017-12;Grüngut;;Strassensammlung;;;;56600.0;56.6
106;2018-10;Grüngut;;Strassensammlung;;;;141220.0;141.22
111;2019-03;Grüngut;;Strassensammlung;;;;103030.0;103.03
143;2021-11;Grüngut;;Strassensammlung;;;;199840.0;199.84
153;2017-09;Grüngut;;Annahmestelle;;Deponie Tüfentobel;Privatanlieferer;3650.0;3.65
154;2017-10;Grüngut;;Annahmestelle;;Deponie Tüfentobel;Privatanlieferer;21310.0;21.31
164;2018-08;Grüngut;;Annahmestelle;;Deponie Tüfentobel;Privatanlieferer;61340.0;61.34
172;2019-04;Grüngut;;Annahmestelle;;Deponie Tüfentobel;Privatanlieferer;2600.0;2.6
175;2019-07;Grüngut;;Annahmestelle;;Deponie Tüfentobel;Privatanlieferer;10270.0;10.27
176;2019-08;Grüngut;;Annahmestelle;;Deponie Tüfentobel;Privatanlieferer;7380.0;7.38
177;2019-09;Grüngut;;Annahmestelle;;Deponie Tüfentobel;Privatanlieferer;7380.0;7.38
184;2020-04;Grüngut;;Annahmestelle;;Deponie Tüfentobel;Privatanlieferer;2400.0;2.4
194;2021-02;Grüngut;;Annahmestelle;;Deponie Tüfentobel;Privatanlieferer;440.0;0.44
197;2021-05;Grüngut;;Annahmestelle;;Deponie Tüfentobel;Privatanlieferer;1850.0;1.85
205;2015-01;Papier;;Strassensammlung;I;;;3460.0;3.46
208;2015-01;Papier;;Strassensammlung;H;;;6600.0;6.6
212;2015-01;Karton;;Strassensammlung;E;;;9980.0;9.98
218;2015-01;Karton;;Strassensammlung;F;;;8780.0;8.78
219;2015-01;Karton;;Strassensammlung;H;;;6160.0;6.16
230;2015-02;Papier;;Strassensammlung;H;;;15320.0;15.32
231;2015-02;Papier;;Strassensammlung;D;;;16300.0;16.3
236;2015-02;Papier;;Strassensammlung;C;;;8230.0;8.23
241;2015-02;Papier;;Strassensammlung;H;;;8750.0;8.75
244;2015-02;Papier;;Strassensammlung;B;;;10270.0;10.27
249;2015-02;Papier;;Strassensammlung;I;;;8730.0;8.73
250;2015-02;Papier;;Strassensammlung;A;;;7080.0;7.08
252;2015-03;Papier;;Strassensammlung;H;;;9630.0;9.63
261;2015-03;Karton;;Strassensammlung;A;;;4880.0;4.88
270;2015-03;Papier;;Strassensammlung;L;;;25770.0;25.77
272;2015-03;Papier;;Strassensammlung;A;;;19540.0;19.54
274;2015-03;Papier;;Strassensammlung;H;;;19840.0;19.84
279;2015-04;Papier;;Strassensammlung;G;;;5250.0;5.25
280;2015-04;Papier;;Strassensammlung;C;;;6630.0;6.63
284;2015-04;Papier;;Strassensammlung;F;;;12540.0;12.54
299;2015-05;Papier;;Strassensammlung;B;;;12270.0;12.27
301;2015-05;Karton;;Strassensammlung;G;;;7530.0;7.53
304;2015-05;Karton;;Strassensammlung;I;;;6190.0;6.19
312;2015-05;Papier;;Strassensammlung;G;;;15150.0;15.15
315;2015-05;Papier;;Strassensammlung;I;;;15250.0;15.25
330;2015-06;Papier;;Strassensammlung;D;;;9180.0;9.18
332;2015-06;Papier;;Strassensammlung;B;;;6360.0;6.36
333;2015-06;Papier;;Strassensammlung;E;;;17440.0;17.44
335;2015-06;Papier;;Strassensammlung;C;;;8380.0;8.38
338;2015-06;Papier;;Strassensammlung;A;;;8960.0;8.96
341;2015-06;Papier;;Strassensammlung;D;;;10300.0;10.3
344;2015-06;Karton;;Strassensammlung;E;;;9200.0;9.2
345;2015-06;Karton;;Strassensammlung;G;;;6040.0;6.04
349;2015-07;Karton;;Strassensammlung;A;;;4230.0;4.23
350;2015-07;Karton;;Strassensammlung;F;;;8090.0;8.09
351;2015-07;Karton;;Strassensammlung;H;;;4780.0;4.78
352;2015-07;Karton;;Strassensammlung;D;;;4810.0;4.81
358;2015-07;Papier;;Strassensammlung;L;;;19510.0;19.51
361;2015-07;Papier;;Strassensammlung;F;;;20110.0;20.11
365;2015-07;Papier;;Strassensammlung;B;;;14710.0;14.71
370;2015-07;Papier;;Strassensammlung;I;;;4690.0;4.69
371;2015-07;Papier;;Strassensammlung;A;;;5730.0;5.73
